player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
Kyler Fackrell ,LB,GB,4,13,23,26,25,29,bye,28,0, , , , , , , , ,148,21.1
Sheldon Day ,DT,SF,17,20,19,24,15,45,25,22,0, , , , , , , , ,187,23.4
Deion Jones ,LB,ATL,69,0,0,0,0,0,0,bye,0, , , , , , , , ,69,69.0
Nick Vigil ,LB,CIN,82,85,67,70,45,13,0,0,bye, , , , , , , , ,362,60.3
Kamalei Correa ,LB,TEN,48,17,0,15,16,26,31,bye,0, , , , , , , , ,153,25.5
Blake Martinez ,LB,GB,70,73,61,58,62,57,bye,78,0, , , , , , , , ,459,65.6
Chris Jones ,DT,KC,59,56,50,48,30,56,37,47,0, , , , , , , , ,383,47.9
Erik Harris ,S,OAK,0,26,17,35,26,29,bye,51,0, , , , , , , , ,184,26.3
Javon Hargrave ,DT,PIT,25,17,24,27,17,21,bye,24,0, , , , , , , , ,155,22.1
Jihad Ward ,DT,IND,0,33,29,19,24,36,3,0,bye, , , , , , , , ,144,24.0
Sean Davis ,S,PIT,89,58,73,76,72,57,bye,64,0, , , , , , , , ,489,69.9
Cyrus Jones ,CB,BAL,0,0,7,3,0,0,1,2,0, , , , , , , , ,13,2.6
Adam Gotsis ,DE,DEN,21,28,32,36,29,26,28,20,0, , , , , , , , ,220,27.5
Kevin Byard ,S,TEN,62,67,57,78,65,76,44,bye,0, , , , , , , , ,449,64.1
KeiVarae Russell ,CB,CIN,0,0,0,0,0,0,6,15,bye, , , , , , , , ,21,10.5
Daryl Worley ,CB,OAK,0,0,0,0,49,63,bye,78,0, , , , , , , , ,190,63.3
Justin Simmons ,S,DEN,57,65,72,78,62,74,66,58,0, , , , , , , , ,532,66.5
Joe Schobert ,LB,CLE,84,66,63,92,87,33,0,0,0, , , , , , , , ,425,70.8
Tavon Young ,CB,BAL,49,43,52,57,57,28,51,25,0, , , , , , , , ,362,45.3
Eric Murray ,CB,KC,82,79,68,60,4,0,21,52,0, , , , , , , , ,366,52.3
BJ Goodson ,LB,NYG,33,30,27,11,22,38,30,59,bye, , , , , , , , ,250,31.3
Nick Kwiatkoski ,LB,CHI,47,9,0,14,bye,3,4,0,0, , , , , , , , ,77,11.0
De'Vondre Campbell ,LB,ATL,71,67,76,65,52,54,53,bye,0, , , , , , , , ,438,62.6
David Onyemata ,DT,NO,38,42,41,38,32,bye,41,35,0, , , , , , , , ,267,38.1
Deon Bush ,S,CHI,0,0,0,9,bye,1,1,0,0, , , , , , , , ,11,1.6
Antonio Morrison ,LB,GB,11,22,23,10,18,3,bye,0,0, , , , , , , , ,87,12.4
Deiondre' Hall ,CB,PHI,0,0,0,0,0,1,0,0,bye, , , , , , , , ,1,0.1
Derrick Kindred ,S,CLE,62,41,30,55,18,21,34,38,0, , , , , , , , ,299,37.4
Willie Henry ,DT,BAL,0,0,0,0,39,23,20,0,0, , , , , , , , ,82,27.3
Dean Lowry ,DE,GB,15,18,24,36,42,49,bye,38,0, , , , , , , , ,222,31.7
Justin Zimmer ,DT,ATL,0,0,9,0,0,0,0,bye,0, , , , , , , , ,9,9.0
Jordan Lucas ,S,KC,0,0,0,0,56,78,48,24,0, , , , , , , , ,206,25.8
Jonathan Jones ,CB,NE,38,56,55,42,65,31,49,25,0, , , , , , , , ,361,45.1
Cre'von LeBlanc ,CB,PHI,0,0,0,0,26,0,0,3,bye, , , , , , , , ,29,9.7
Elandon Roberts ,LB,NE,20,16,36,28,41,25,47,35,0, , , , , , , , ,248,31.0
Kamu Grugier-Hill ,LB,PHI,28,22,9,18,20,15,9,6,bye, , , , , , , , ,127,15.9
Clayton Fejedelem ,S,CIN,69,16,3,3,2,33,0,5,bye, , , , , , , , ,131,16.4
Matt Judon ,LB,BAL,36,46,47,38,53,27,47,39,0, , , , , , , , ,333,41.6
Trevor Bates ,LB,DET,0,0,0,0,0,bye,0,2,0, , , , , , , , ,2,1.0
Jonathan Woodard ,DE,MIA,0,0,0,37,25,12,0,29,0, , , , , , , , ,103,25.8
Briean Boddy-Calhoun ,CB,CLE,62,5,0,33,1,0,95,55,0, , , , , , , , ,251,31.4
Mike Hilton ,CB,PIT,60,42,35,0,55,47,bye,43,0, , , , , , , , ,282,47.0
Jarrod Wilson ,S,JAC,5,2,2,0,15,2,1,4,bye, , , , , , , , ,31,3.9
D.J. Reader ,DT,HOU,52,49,39,42,42,39,32,39,0, , , , , , , , ,334,41.8
Joel Heath ,DT,HOU,0,10,0,19,5,10,0,0,0, , , , , , , , ,44,8.8
