Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181014_LAR@DEN,20181014,LAR,35:10,24,13,9,2,8-17,1-1,444,72,6.2,270,39,6.9,174,14-28,6.2,5-27,10-81,2,2,0,0,1,0-0,1,3-40.0,60,2-29,1-31,1-0,5/6,2/2,3/4,2-5,1-2,0
20181014_LAR@DEN,20181014,DEN,24:50,23,3,14,6,3-10,0-1,357,60,6.0,60,17,3.5,297,25-41,7.2,2-25,6-61,2,0,2,0,1,1-0,1,4-35.0,48,0-0,2-48,1-0,4/4,2/2,2/2,2-4,1-1,0
20181014_JAC@DAL,20181014,JAC,21:10,10,3,7,0,4-11,0-1,204,47,4.3,65,18,3.6,139,15-26,5.3,3-10,4-30,1,0,1,0,2,1-1,1,6-36.5,29,2--2,1-31,0-0,1/1,1/1,0/0,0-0,0-0,0
20181014_JAC@DAL,20181014,DAL,38:50,23,11,10,2,7-17,2-2,378,72,5.3,206,42,4.9,172,17-27,6.4,3-11,3-25,4,2,2,0,0,2-0,0,3-41.7,9,2-9,0-0,1-0,8/8,4/4,4/4,4-5,1-2,0
20181014_BAL@TEN,20181014,BAL,37:34,23,9,13,1,12-17,1-1,361,72,5.0,123,35,3.5,238,25-37,6.4,0-0,10-70,3,2,1,0,1,0-0,1,4-43.8,70,4-50,1-20,0-0,3/3,3/3,0/0,3-3,2-2,0
20181014_BAL@TEN,20181014,TEN,22:26,7,1,5,1,1-10,0-0,106,40,2.7,55,14,3.9,51,10-15,3.4,11-66,4-35,0,0,0,0,0,1-0,0,9-36.1,20,1-0,1-20,1-0,0/0,0/0,0/0,0-0,0-0,0
20181014_KC@NE,20181014,KC,23:51,18,4,14,0,4-10,1-1,446,53,8.4,94,17,5.5,352,23-36,9.8,0-0,5-58,4,0,4,0,2,0-0,2,1-51.0,190,0-0,5-190,0-0,8/8,4/4,4/4,2-5,1-2,0
20181014_KC@NE,20181014,NE,36:09,31,15,14,2,7-13,0-1,500,75,6.7,173,38,4.6,327,24-35,9.3,2-13,0-0,4,3,1,0,1,2-1,0,0-0.0,30,0-0,1-30,2-0,9/9,4/4,5/5,4-6,3-5,0
20181015_SF@GB,20181015,SF,28:52,18,9,8,1,2-9,0-0,401,55,7.3,174,30,5.8,227,16-23,9.9,2-18,2-10,3,1,2,0,3,2-2,1,3-40.0,138,1-0,5-138,0-0,6/6,3/3,3/3,1-1,1-1,0
20181015_SF@GB,20181015,GB,31:08,26,8,17,1,4-13,1-2,521,70,7.4,116,21,5.5,405,25-46,8.8,3-20,6-54,3,1,2,0,0,0-0,0,4-33.8,47,1-6,2-41,1-0,7/7,3/3,4/4,3-6,1-2,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181018_DEN@ARI,20181018,DEN,30:49,15,6,8,1,5-13,0-0,309,55,5.6,131,31,4.2,178,15-22,8.1,2-11,5-50,4,2,2,0,1,0-0,1,6-40.7,61,3-23,2-38,3-0,7/7,6/6,1/1,1-2,1-1,0
20181018_DEN@ARI,20181018,ARI,29:11,14,4,8,2,4-14,0-1,223,66,3.4,69,21,3.3,154,21-39,3.9,6-40,7-45,1,0,1,0,5,3-2,3,6-46.8,94,2-17,5-77,1-0,2/2,1/1,1/1,1-1,1-1,0
20181021_TEN@LAC,20181021,TEN,35:23,23,7,16,0,9-15,1-1,390,67,5.8,164,33,5.0,226,24-32,7.1,2-11,4-32,2,1,1,0,1,0-0,1,2-44.5,156,1-0,5-156,0-0,3/4,1/1,2/3,2-5,2-3,0
20181021_TEN@LAC,20181021,LAC,24:37,14,2,12,0,4-9,0-0,344,44,7.8,47,16,2.9,297,19-26,11.4,2-9,4-31,2,0,2,0,0,0-0,0,3-38.3,61,2-14,2-47,1-0,4/4,2/2,2/2,0-2,0-0,0
20181021_NE@CHI,20181021,NE,29:51,21,5,15,1,6-13,1-1,381,64,6.0,108,27,4.0,273,25-36,7.6,1-4,7-64,4,0,3,1,3,3-2,1,4-33.5,182,2-3,4-179,2-0,6/6,5/5,1/1,3-4,2-2,0
20181021_NE@CHI,20181021,CHI,30:09,29,7,18,4,8-16,1-1,453,77,5.9,134,25,5.4,319,26-50,6.4,2-14,5-40,4,2,2,0,2,0-0,2,5-34.0,109,1-17,4-92,1-0,5/5,4/4,1/1,4-4,2-2,0
20181021_BUF@IND,20181021,BUF,26:41,15,6,9,0,2-9,0-1,303,55,5.5,135,22,6.1,168,20-31,5.4,2-7,7-59,0,0,0,0,5,2-2,3,4-46.3,48,0-0,3-48,0-0,1/1,0/0,1/1,0-1,0-0,1
